-0.136489	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.136489	0.538617	0.871747	
-0.136812	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.136812	0.545717	0.882845	
-0.137150	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.137150	0.553029	0.894261	
-0.137501	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.137501	0.560516	0.905938	
-0.137865	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.137865	0.568146	0.917824	
-0.138241	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.138241	0.575885	0.929865	
-0.138626	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.138626	0.583700	0.942010	
-0.139019	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.139019	0.591560	0.954209	
-0.139420	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.139420	0.599433	0.966413	
-0.139826	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.139826	0.607289	0.978575	
-0.140236	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.140236	0.615100	0.990649	
-0.140648	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.140648	0.622836	1.002593	
-0.141062	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.141062	0.630471	1.014365	
-0.141474	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.141474	0.637979	1.025924	
-0.141884	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.141884	0.645334	1.037233	
-0.142290	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.142290	0.652512	1.048255	
-0.142689	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.142689	0.659490	1.058956	
-0.143081	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.143081	0.666246	1.069303	
-0.143464	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.143464	0.672759	1.079264	
-0.143836	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.143836	0.679010	1.088812	
-0.144195	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.144195	0.684978	1.097917	
-0.144539	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.144539	0.690646	1.106555	
-0.144868	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.144868	0.695998	1.114701	
-0.145179	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.145179	0.701017	1.122334	
-0.145471	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.145471	0.705689	1.129431	
-0.145743	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.145743	0.710001	1.135975	
-0.145993	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.145993	0.713940	1.141948	
-0.146221	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.146221	0.717495	1.147334	
-0.146424	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.146424	0.720656	1.152119	
-0.146602	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.146602	0.723414	1.156292	
-0.146755	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.146755	0.725761	1.159840	
-0.146881	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.146881	0.727690	1.162756	
-0.146979	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.146979	0.729196	1.165031	
-0.147050	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.147050	0.730275	1.166660	
-0.147092	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.147092	0.730923	1.167640	
-0.147107	0.731139	1.167966	-0.024561	0.731139	1.167966	-0.024561	0.731139	1.167966	-0.147107	0.731139	1.167966	
-0.147092	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.147092	0.730923	1.167640	
-0.147050	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.147050	0.730275	1.166660	
-0.146979	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.146979	0.729196	1.165031	
-0.146881	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.146881	0.727690	1.162756	
-0.146755	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.146755	0.725761	1.159840	
-0.146602	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.146602	0.723414	1.156292	
-0.146424	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.146424	0.720656	1.152119	
-0.146221	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.146221	0.717495	1.147334	
-0.145993	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.145993	0.713940	1.141948	
-0.145743	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.145743	0.710001	1.135975	
-0.145471	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.145471	0.705689	1.129431	
-0.145179	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.145179	0.701017	1.122334	
-0.144868	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.144868	0.695998	1.114701	
-0.144539	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.144539	0.690646	1.106555	
-0.144195	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.144195	0.684978	1.097917	
-0.143836	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.143836	0.679010	1.088812	
-0.143464	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.143464	0.672759	1.079264	
-0.143081	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.143081	0.666246	1.069303	
-0.142689	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.142689	0.659490	1.058956	
-0.142290	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.142290	0.652512	1.048255	
-0.141884	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.141884	0.645334	1.037233	
-0.141474	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.141474	0.637979	1.025924	
-0.141062	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.141062	0.630471	1.014365	
-0.140648	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.140648	0.622836	1.002593	
-0.140236	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.140236	0.615100	0.990649	
-0.139826	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.139826	0.607289	0.978575	
-0.139420	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.139420	0.599433	0.966413	
-0.139019	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.139019	0.591560	0.954209	
-0.138626	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.138626	0.583700	0.942010	
-0.138241	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.138241	0.575885	0.929865	
-0.137865	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.137865	0.568146	0.917824	
-0.137501	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.137501	0.560516	0.905938	
-0.137150	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.137150	0.553029	0.894261	
-0.136812	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.136812	0.545717	0.882845	
-0.136489	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.136489	0.538617	0.871747	
-0.136181	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.136181	0.531761	0.861021	
-0.135891	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.135891	0.525186	0.850723	
-0.135618	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.135618	0.518925	0.840909	
-0.135364	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.135364	0.513012	0.831633	
-0.135130	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.135130	0.507481	0.822950	
-0.134915	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.134915	0.502365	0.814911	
-0.134722	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.134722	0.497693	0.807566	
-0.134549	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.134549	0.493495	0.800962	
-0.134399	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.134399	0.489798	0.795144	
-0.134271	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.134271	0.486626	0.790149	
-0.134166	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.134166	0.484000	0.786013	
-0.134084	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.134084	0.481939	0.782765	
-0.134025	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.134025	0.480456	0.780428	
-0.133990	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.133990	0.479562	0.779019	
-0.133978	0.479263	0.778548	-0.022362	0.479263	0.778548	-0.022362	0.479263	0.778548	-0.133978	0.479263	0.778548	
-0.133990	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.133990	0.479562	0.779019	
-0.134025	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.134025	0.480456	0.780428	
-0.134084	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.134084	0.481939	0.782765	
-0.134166	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.134166	0.484000	0.786013	
-0.134271	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.134271	0.486626	0.790149	
-0.134399	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.134399	0.489798	0.795144	
-0.134549	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.134549	0.493495	0.800962	
-0.134722	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.134722	0.497693	0.807566	
-0.134915	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.134915	0.502365	0.814911	
-0.135130	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.135130	0.507481	0.822950	
-0.135364	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.135364	0.513012	0.831633	
-0.135618	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.135618	0.518925	0.840909	
-0.135891	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.135891	0.525186	0.850723	
-0.136181	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.136181	0.531761	0.861021	
-0.136489	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.136489	0.538617	0.871747	
-0.136812	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.136812	0.545717	0.882845	
-0.137150	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.137150	0.553029	0.894261	
-0.137501	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.137501	0.560516	0.905938	
-0.137865	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.137865	0.568146	0.917824	
-0.138241	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.138241	0.575885	0.929865	
-0.138626	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.138626	0.583700	0.942010	
-0.139019	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.139019	0.591560	0.954209	
-0.139420	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.139420	0.599433	0.966413	
-0.139826	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.139826	0.607289	0.978575	
-0.140236	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.140236	0.615100	0.990649	
-0.140648	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.140648	0.622836	1.002593	
-0.141062	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.141062	0.630471	1.014365	
-0.141474	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.141474	0.637979	1.025924	
-0.141884	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.141884	0.645334	1.037233	
-0.142290	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.142290	0.652512	1.048255	
-0.142689	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.142689	0.659490	1.058956	
-0.143081	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.143081	0.666246	1.069303	
-0.143464	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.143464	0.672759	1.079264	
-0.143836	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.143836	0.679010	1.088812	
-0.144195	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.144195	0.684978	1.097917	
-0.144539	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.144539	0.690646	1.106555	
-0.144868	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.144868	0.695998	1.114701	
-0.145179	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.145179	0.701017	1.122334	
-0.145471	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.145471	0.705689	1.129431	
-0.145743	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.145743	0.710001	1.135975	
-0.145993	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.145993	0.713940	1.141948	
-0.146221	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.146221	0.717495	1.147334	
-0.146424	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.146424	0.720656	1.152119	
-0.146602	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.146602	0.723414	1.156292	
-0.146755	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.146755	0.725761	1.159840	
-0.146881	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.146881	0.727690	1.162756	
-0.146979	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.146979	0.729196	1.165031	
-0.147050	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.147050	0.730275	1.166660	
-0.147092	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.147092	0.730923	1.167640	
-0.147107	0.731139	1.167966	-0.024561	0.731139	1.167966	-0.024561	0.731139	1.167966	-0.147107	0.731139	1.167966	
-0.147092	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.024558	0.730923	1.167640	-0.147092	0.730923	1.167640	
-0.147050	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.024551	0.730275	1.166660	-0.147050	0.730275	1.166660	
-0.146979	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.024539	0.729196	1.165031	-0.146979	0.729196	1.165031	
-0.146881	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.024523	0.727690	1.162756	-0.146881	0.727690	1.162756	
-0.146755	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.024502	0.725761	1.159840	-0.146755	0.725761	1.159840	
-0.146602	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.024476	0.723414	1.156292	-0.146602	0.723414	1.156292	
-0.146424	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.024446	0.720656	1.152119	-0.146424	0.720656	1.152119	
-0.146221	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.024412	0.717495	1.147334	-0.146221	0.717495	1.147334	
-0.145993	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.024374	0.713940	1.141948	-0.145993	0.713940	1.141948	
-0.145743	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.024332	0.710001	1.135975	-0.145743	0.710001	1.135975	
-0.145471	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.024287	0.705689	1.129431	-0.145471	0.705689	1.129431	
-0.145179	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.024238	0.701017	1.122334	-0.145179	0.701017	1.122334	
-0.144868	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.024186	0.695998	1.114701	-0.144868	0.695998	1.114701	
-0.144539	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.024131	0.690646	1.106555	-0.144539	0.690646	1.106555	
-0.144195	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.024073	0.684978	1.097917	-0.144195	0.684978	1.097917	
-0.143836	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.024013	0.679010	1.088812	-0.143836	0.679010	1.088812	
-0.143464	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.023951	0.672759	1.079264	-0.143464	0.672759	1.079264	
-0.143081	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.023887	0.666246	1.069303	-0.143081	0.666246	1.069303	
-0.142689	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.023821	0.659490	1.058956	-0.142689	0.659490	1.058956	
-0.142290	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.023754	0.652512	1.048255	-0.142290	0.652512	1.048255	
-0.141884	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.141884	0.645334	1.037233	
-0.141474	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.141474	0.637979	1.025924	
-0.141062	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.141062	0.630471	1.014365	
-0.140648	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.140648	0.622836	1.002593	
-0.140236	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.140236	0.615100	0.990649	
-0.139826	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.139826	0.607289	0.978575	
-0.139420	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.139420	0.599433	0.966413	
-0.139019	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.139019	0.591560	0.954209	
-0.138626	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.138626	0.583700	0.942010	
-0.138241	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.138241	0.575885	0.929865	
-0.137865	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.137865	0.568146	0.917824	
-0.137501	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.137501	0.560516	0.905938	
-0.137150	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.137150	0.553029	0.894261	
-0.136812	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.136812	0.545717	0.882845	
-0.136489	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.136489	0.538617	0.871747	
-0.136181	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.136181	0.531761	0.861021	
-0.135891	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.135891	0.525186	0.850723	
-0.135618	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.135618	0.518925	0.840909	
-0.135364	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.135364	0.513012	0.831633	
-0.135130	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.135130	0.507481	0.822950	
-0.134915	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.134915	0.502365	0.814911	
-0.134722	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.134722	0.497693	0.807566	
-0.134549	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.134549	0.493495	0.800962	
-0.134399	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.134399	0.489798	0.795144	
-0.134271	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.134271	0.486626	0.790149	
-0.134166	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.134166	0.484000	0.786013	
-0.134084	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.134084	0.481939	0.782765	
-0.134025	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.134025	0.480456	0.780428	
-0.133990	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.133990	0.479562	0.779019	
-0.133978	0.479263	0.778548	-0.022362	0.479263	0.778548	-0.022362	0.479263	0.778548	-0.133978	0.479263	0.778548	
-0.133990	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.022364	0.479562	0.779019	-0.133990	0.479562	0.779019	
-0.134025	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.022370	0.480456	0.780428	-0.134025	0.480456	0.780428	
-0.134084	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.022380	0.481939	0.782765	-0.134084	0.481939	0.782765	
-0.134166	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.022394	0.484000	0.786013	-0.134166	0.484000	0.786013	
-0.134271	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.022411	0.486626	0.790149	-0.134271	0.486626	0.790149	
-0.134399	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.022433	0.489798	0.795144	-0.134399	0.489798	0.795144	
-0.134549	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.022458	0.493495	0.800962	-0.134549	0.493495	0.800962	
-0.134722	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.022487	0.497693	0.807566	-0.134722	0.497693	0.807566	
-0.134915	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.022519	0.502365	0.814911	-0.134915	0.502365	0.814911	
-0.135130	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.022555	0.507481	0.822950	-0.135130	0.507481	0.822950	
-0.135364	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.022594	0.513012	0.831633	-0.135364	0.513012	0.831633	
-0.135618	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.022637	0.518925	0.840909	-0.135618	0.518925	0.840909	
-0.135891	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.022682	0.525186	0.850723	-0.135891	0.525186	0.850723	
-0.136181	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.022731	0.531761	0.861021	-0.136181	0.531761	0.861021	
-0.136489	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.022783	0.538617	0.871747	-0.136489	0.538617	0.871747	
-0.136812	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.022837	0.545717	0.882845	-0.136812	0.545717	0.882845	
-0.137150	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.022893	0.553029	0.894261	-0.137150	0.553029	0.894261	
-0.137501	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.022952	0.560516	0.905938	-0.137501	0.560516	0.905938	
-0.137865	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.023013	0.568146	0.917824	-0.137865	0.568146	0.917824	
-0.138241	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.023076	0.575885	0.929865	-0.138241	0.575885	0.929865	
-0.138626	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.023140	0.583700	0.942010	-0.138626	0.583700	0.942010	
-0.139019	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.023206	0.591560	0.954209	-0.139019	0.591560	0.954209	
-0.139420	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.023273	0.599433	0.966413	-0.139420	0.599433	0.966413	
-0.139826	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.023341	0.607289	0.978575	-0.139826	0.607289	0.978575	
-0.140236	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.023410	0.615100	0.990649	-0.140236	0.615100	0.990649	
-0.140648	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.023479	0.622836	1.002593	-0.140648	0.622836	1.002593	
-0.141062	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.023548	0.630471	1.014365	-0.141062	0.630471	1.014365	
-0.141474	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.023617	0.637979	1.025924	-0.141474	0.637979	1.025924	
-0.141884	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.023686	0.645334	1.037233	-0.141884	0.645334	1.037233	
